銘柄名,公式HP,新卒採用ページ
ニッスイ,https://www.nissui.co.jp/,https://www.nissui.co.jp/recruit/index.html
ＩＮＰＥＸ,https://www.inpex.co.jp/,https://www.inpex.co.jp/#recruit
コムシスＨＤ,http://www.comsys-hd.co.jp/,http://www.comsys-hd.co.jp/recruit.html
大成建,http://www.taisei.co.jp/,http://www.taisei.co.jp/#nav-saiyo
大林組,http://www.obayashi.co.jp/,http://www.obayashi.co.jp/recruit/
清水建,http://www.shimz.co.jp/,http://www.shimz.co.jp/recruit/
長谷工,http://www.haseko.co.jp/,http://www.haseko.co.jp/hc/recruit/
鹿 島,http://www.kajima.co.jp/,http://www.kajima.co.jp/recruit/index-j.html
大和ハウス,http://www.daiwahouse.co.jp/,Not Found
積水ハウス,http://www.sekisuihouse.co.jp/,http://www.sekisuihouse.co.jp/recruit/
日揮ＨＤ,http://www.jgc.com/jp/,http://www.jgc.com/jp/recruit/
日清粉Ｇ,http://www.nisshin.com/,http://www.nisshin-recruit.com/
明治ＨＤ,http://www.meiji.com/,http://www.meiji.com/new-graduate/
日本ハム,http://www.nipponham.co.jp/,http://www.nipponham.co.jp/recruit/
エムスリー,http://corporate.m3.com/,http://corporate.m3.com/recruit
ＤｅＮＡ,https://dena.com/jp/,https://dena.com/jp/recruit/
サッポロＨＤ,http://www.sapporoholdings.jp/,http://www.sapporoholdings.jp/company/recruit/
アサヒ,http://www.asahigroup-holdings.com/,http://www.asahigroup-holdings.com/careers/
キリンＨＤ,http://www.kirin.co.jp/,Not Found
双  日,http://www.sojitz.com/,http://www.sojitz.com/jp/recruit/
キッコーマン,http://www.kikkoman.co.jp/,https://www.kikkoman.com/jp/
味の素,http://www.ajinomoto.co.jp/,http://www.ajinomoto.co.jp/company/jp/recruit/
ニチレイ,http://www.nichirei.co.jp/,http://www.nichirei.co.jp/saiyo/portal/
Ｊ Ｔ,http://www.jti.co.jp/,javascript:void(0);
Ｊフロント,http://www.j-front-retailing.com/index.php,http://www.j-front-retailing.com/recruit/
ＺＯＺＯ,http://corp.zozo.com/,http://corp.zozo.com/recruit/
ミツコシイセタン,http://www.imhds.co.jp/,http://www.imhds.co.jp/content/imhds/recruit/
東急不ＨＤ,http://www.tokyu-fudosan-hd.co.jp/,https://recruit.tokyu-fudosan-hd.co.jp/
７＆Ｉ－ＨＤ,http://www.7andi.com/,Not Found
帝 人,http://www.teijin.co.jp/,http://www.teijin.co.jp/recruit/
東  レ,http://www.toray.co.jp/,http://www.toray.co.jp/saiyou/
クラレ,http://www.kuraray.co.jp/,http://www.kuraray.co.jp/jp-ja/recruit/
旭化成,http://www.asahi-kasei.co.jp/,https://www.asahi-kasei-jobs.com/top.html
ＳＵＭＣＯ,http://www.sumcosi.com/,http://www.sumcosi.com/recruit/
ネクソン,http://www.nexon.co.jp/,https://recruit.nexon.co.jp/
王子ＨＤ,http://www.ojiholdings.co.jp/,http://www.ojiholdings.co.jp/ojigroup_saiyo/
レゾナックＨＤ,https://www.resonac.com/jp,https://www.resonac.com/recruit/jp/?intcid=glnavi_recruit_jp
住友化,http://www.sumitomo-chem.co.jp/,http://www.sumitomo-chem.co.jp/recruit/
日産化,http://www.nissanchem.co.jp/,http://www.nissanchem.co.jp/saiyo/
東ソー,http://www.tosoh.co.jp/,http://www.tosoh.co.jp/recruit/
トクヤマ,http://www.tokuyama.co.jp/,http://www.tokuyama.co.jp/recruit/
デンカ,http://www.denka.co.jp/,http://www.denka.co.jp/rec/
信越化,http://www.shinetsu.co.jp/,Not Found
協和キリン,https://www.kyowakirin.co.jp/,https://www.kyowakirin.co.jp/careers/recruit/index.html
三井化学,https://jp.mitsuichemicals.com/jp/index.htm,https://jp.mitsuichemicals.com/jp/career/index.htm
三菱ケミＧ,https://www.mitsubishichem-hd.co.jp/,https://www.mitsubishichem-hd.co.jp/recruit.html
ＵＢＥ,https://www.ube.co.jp/ube/jp/index.html,https://www.ube.co.jp/ube/recruit/
ＮＲＩ,http://www.nri.co.jp/,Not Found
電通Ｇ,https://www.group.dentsu.com/jp/,Not Found
メルカリ,http://about.mercari.com/,https://careers.mercari.com/
花 王,http://www.kao.co.jp/,http://www.kao.com/jp/careers/
武 田,http://www.takeda.co.jp/,Not Found
アステラス薬,http://www.astellas.com/jp,Not Found
住友ファーマ,https://www.sumitomo-pharma.co.jp/index.html,https://www.recruit.sumitomo-pharma.co.jp/
塩野義,http://www.shionogi.co.jp/,https://www.shionogi.com/jp/ja/recruit
中外薬,http://www.chugai-pharm.co.jp/,http://www.chugai-pharm.co.jp/#header-mega-menu--recruit
エーザイ,http://www.eisai.co.jp/,http://www.eisai-recruit.jp/
テルモ,http://www.terumo.co.jp/,http://www.terumo.co.jp/careers
第一三共,http://www.daiichisankyo.co.jp/,http://www.daiichisankyo.co.jp/sustainability/our_workplace/recruitment-development/
大塚ＨＤ,http://www.otsuka.com/jp/,http://www.otsuka.com/jp/company/recruit/
ＯＬＣ,http://www.olc.co.jp/,Not Found
ＬＩＮＥヤフー,https://www.lycorp.co.jp/ja/,https://www.lycorp.co.jp/ja/recruit/
トレンド,http://www.trendmicro.co.jp/,http://www.trendmicro.co.jp/ja_jp/business/products/user-protection/sps/email-and-collaboration.html
サイバエージ,http://www.cyberagent.co.jp/,https://www.cyberagent.co.jp/techinfo/careers/
楽天Ｇ,https://corp.rakuten.co.jp/,https://corp.rakuten.co.jp/careers/
富士フイルム,http://www.fujifilmholdings.com/,Not Found
コニカミノルタ,http://konicaminolta.jp/,http://konicaminolta.jp/jp-ja/newsroom/2025/0820-01-01.html
資生堂,https://corp.shiseido.com/jp,https://corp.shiseido.com/jp/careers/
出光興産,http://www.idemitsu.co.jp/,http://www.idemitsu.co.jp/
ＥＮＥＯＳ,https://www.hd.eneos.co.jp/,https://www.hd.eneos.co.jp/recruit/
浜ゴム,http://www.yrc.co.jp/,http://www.yrc.co.jp/recruit/
ブリヂストン,http://www.bridgestone.co.jp/,http://www.bridgestone.co.jp/saiyou/index.html
ＡＧＣ,http://www.agc.com/,http://www.agc.com/careers/index.html
日電硝,http://www.neg.co.jp/,https://www.saiyo.neg.co.jp/
太平洋セメ,http://www.taiheiyo-cement.co.jp/,https://www.taiheiyo-cement.co.jp/recruit/index2.html
東海カーボ,http://www.tokaicarbon.co.jp/,http://www.tokaicarbon.co.jp/recruitment/
ＴＯＴＯ,http://www.toto.co.jp/,http://www.toto.co.jp/career/
ガイシ,http://www.ngk.co.jp/,http://www.ngk.co.jp/recruit/
日本製鉄,https://www.nipponsteel.com/,Not Found
神戸鋼,http://www.kobelco.co.jp/,http://www.kobelco.co.jp/recruit/
ＪＦＥ,https://www.jfe-holdings.co.jp/,https://www.jfe-holdings.co.jp/recruitment/
日製鋼,http://www.jsw.co.jp/,Not Found
三井金,https://www.mitsui-kinzoku.com/,https://www.mitsui-kinzoku.com/recruit/
三菱マ,https://www.mmc.co.jp/corporate/ja/,https://www.mmc.co.jp/corporate/ja/recruit/
住友鉱,http://www.smm.co.jp/,http://www.smm.co.jp/r_info/
ＤＯＷＡ,http://www.dowa.co.jp/,http://www.dowa.co.jp/ja/recruit.html
古河電,http://www.furukawa.co.jp/,http://www.furukawa.co.jp/saiyou/
住友電,http://www.sei.co.jp/,javascript:void(0);
フジクラ,http://www.fujikura.co.jp/,https://www.fujikura.co.jp/en/recruit/
しずおか,https://www.shizuoka-fg.co.jp/,https://www.shizuoka-fg.co.jp/recruitment/
リクルートＨＤ,http://recruit-holdings.co.jp/,https://recruit-holdings.com/ja/about/profile/
オークマ,http://www.okuma.co.jp/,https://www.okuma-saiyou.jp/
アマダ,https://www.amada.co.jp/ja/,https://www.amada.co.jp/ja/recruit/
ディスコ,http://www.disco.co.jp/,http://www.disco.co.jp/recruit/
日本郵政,http://www.japanpost.jp/,http://www.japanpost.jp/employment/?gn=employment
ＳＭＣ,http://www.smcworld.com/,Not Found
コマツ,https://home.komatsu/jp/,https://home.komatsu/ja/recruit
住友重,http://www.shi.co.jp/,http://www.shi.co.jp/recruit/index.html
日立建,http://www.hitachicm.com/global/jp/,http://www.hitachicm.com/global/ja/recruit/
クボタ,http://www.kubota.co.jp/,http://www.kubota.co.jp/recruit/index.html
荏 原,http://www.ebara.co.jp/,Not Found
ダイキン,http://www.daikin.co.jp/,https://www.daikin.co.jp/recruit
日精工,http://www.nsk.com/,javascript:void(0)
ＮＴＮ,http://www.ntn.co.jp/,Not Found
ジェイテクト,http://www.jtekt.co.jp/,http://www.jtekt.co.jp/recruit/
ミネベアミツミ,http://www.minebeamitsumi.com/,http://www.minebeamitsumi.com/
日 立,http://www.hitachi.co.jp/,http://www.hitachi.co.jp/recruit/index.html
三菱電,http://www.mitsubishielectric.co.jp/,https://www.mitsubishielectric.co.jp/saiyo/
富士電機,http://www.fujielectric.co.jp/,http://www.fujielectric.co.jp/recruit/
安川電,http://www.yaskawa.co.jp/,http://www.yaskawa.co.jp/jobs
ソシオネクスト,https://www.socionext.com/jp/,https://www.socionext.com/jp/recruit/
ベイカレント,http://www.baycurrent.co.jp/,http://www.baycurrent.co.jp/careers/
ニデック,https://www.nidec.com/jp/,https://www.nidec.com/jp/recruit/
オムロン,http://www.omron.co.jp/,Not Found
ＧＳユアサ,http://www.gs-yuasa.com/jp,http://www.gs-yuasa.com/jp/saiyo/
ＮＥＣ,http://www.nec.co.jp/,Not Found
富士通,http://jp.fujitsu.com/,https://fujitsu.recruiting.jp.fujitsu.com/
ルネサス,http://japan.renesas.com/,https://career.renesas.com/
エプソン,http://www.epson.jp/,Not Found
パナソニックＨ,https://holdings.panasonic/jp/,Not Found
シャープ,http://www.sharp.co.jp/,http://www.sharp.co.jp/recruit/
ソニーＧ,https://www.sony.com/ja/,https://www.sony.com/ja/SonyInfo/design/career/
ＴＤＫ,http://www.tdk.co.jp/,Not Found
アルプスアル,http://www.alps.com/j/index.html,https://recruit.alpsalpine.com/j/recruit/internship/
横河電,http://www.yokogawa.co.jp/,https://www.yokogawa.co.jp/about/careers-j/
アドバンテ,https://www.advantest.com/ja/,https://www.advantest.com/ja/about/career-jp/
キーエンス,http://www.keyence.co.jp/,Not Found
デンソー,https://www.denso.com/jp/ja/,https://www.denso.com/jp/ja/careers
レーザーテク,http://www.lasertec.co.jp/,https://lasertec-saiyo.jp
カシオ,http://www.casio.co.jp/,http://www.casio.co.jp/saiyou/
ファナック,http://www.fanuc.co.jp/,http://www.fanuc.co.jp/ja/employ/index.html
ローム,http://www.rohm.co.jp/,Not Found
京セラ,http://www.kyocera.co.jp/,https://www.kyocera.co.jp/recruit/recruit.html
太陽誘電,http://www.ty-top.com/,Not Found
村田製,https://corporate.murata.com/,https://recruit.murata.com/en-global/locations/?locale=us
日東電,http://www.nitto.co.jp/,Not Found
カナデビア,http://www.hitachizosen.co.jp/,http://www.hitachizosen.co.jp/employ/index.php
三菱重,http://www.mhi.co.jp/,http://www.mhi.co.jp/recruit
川 重,http://www.khi.co.jp/,javascript:void(0);
ＩＨＩ,http://www.ihi.co.jp/,http://www.ihi.co.jp/recruit/
コンコルディア,http://www.concordia-fg.jp/,http://www.concordia-fg.jp/recruit/
日産自,http://www.nissan.co.jp/,http://www.nissan.co.jp/RECRUIT/
いすゞ,http://www.isuzu.co.jp/,https://www.recruit.isuzu.co.jp/
トヨタ,http://www.toyota.co.jp/,http://www.toyota.co.jp/jp/careers/?padid=ag478_from_header_menu
日野自,http://www.hino.co.jp/,http://www.hino.co.jp/corp/recruit/
三菱自,http://www.mitsubishi-motors.co.jp/,Not Found
マツダ,http://www.mazda.co.jp/,http://www.mazda.com/ja/
ホンダ,http://www.honda.co.jp/,https://global.honda/jp/jobs/?from=navi_footer_www
スズキ,http://www.suzuki.co.jp/,https://saiyo.suzuki.co.jp/top-1/
ＳＵＢＡＲＵ,http://www.subaru.co.jp/,http://www.subaru.co.jp/recruit/
ヤマハ 発,http://www.yamaha-motor.co.jp/,https://global.yamaha-motor.com/jp/news/2025/0909/tricity.html
良品計画,http://ryohin-keikaku.jp/,Not Found
ニコン,http://www.nikon.co.jp/,Not Found
オリンパス,http://www.olympus.co.jp/,http://www.olympus.co.jp/recruit/
スクリン,http://www.screen.co.jp/,http://www.screen.co.jp/recruit_info
ＨＯＹＡ,http://www.hoya.co.jp/,https://www.hoya.com/recruit/
キヤノン,http://canon.jp/,https://corporate.jp.canon/recruit/?id=hn
リコー,http://www.ricoh.co.jp/,https://jp.ricoh.com/jobs
シチズン,http://www.citizen.co.jp/,http://www.citizen.co.jp/recruit/index.html
バンダイナム,http://www.bandainamco.co.jp/,https://www.bandainamco.co.jp/recruit/
ＴＯＰＰＡＮＨＤ,https://www.holdings.toppan.com/ja/,https://www.toppan.com/ja/recruit/
大日印,http://www.dnp.co.jp/,http://www.dnp.co.jp/recruit/
ヤマハ,http://www.yamaha.co.jp/,https://www.yamaha.com/ja/news_release/2025/25090901/
任天堂,http://www.nintendo.co.jp/,https://www.nintendo.co.jp/jobs/index.html
伊藤忠,http://www.itochu.co.jp/,javascript:void(0);
丸 紅,http://www.marubeni.com/jp/,http://www.marubeni.com/jp/recruit/
豊通商,http://www.toyota-tsusho.com/,https://www.toyota-tsusho-recruit.com/
三井物,http://www.mitsui.com/jp/,http://www.mitsui.com/jp/en/careers/index.html
東エレク,https://www.tel.co.jp/,https://careers-tel.jp/
住友商,http://www.sumitomocorp.co.jp/,http://www.sumitomocorp.co.jp/ja/jp/employ
三菱商,http://www.mitsubishicorp.com/,Not Found
高島屋,http://www.takashimaya.co.jp/,Not Found
丸井Ｇ,http://www.0101.co.jp/company/,http://www.0101.co.jp/recruit/
クレセゾン,http://www.saisoncard.co.jp/,http://www.saisoncard.co.jp/recruit/
イオン,http://www.aeon.info/,http://www.aeon.info/recruit/
あおぞら,http://www.aozorabank.co.jp/,http://www.aozorabank.co.jp/recruit/
三菱ＵＦＪ,http://www.mufg.jp/,https://job.career-tasu.jp/corp/00201067/group/?link_id=gnavi_recruit_modal
りそなＨＤ,http://www.resona-gr.co.jp/,https://www.resona-saiyo.com/index.html
三住トラスト,http://smth.jp/,http://smth.jp/about_us/officer/career
三井住友,http://www.smfg.co.jp/,http://www.smfg.co.jp/recruit/
千葉銀,http://www.chibabank.co.jp/,http://www.chibabank.co.jp/recruit
ふくおか,http://www.fukuoka-fg.com/,Not Found
みずほ,http://www.mizuho-fg.co.jp/,http://www.mizuho-fg.co.jp/saiyou/group_index.html
オリックス,http://www.orix.co.jp/,http://www.orix.co.jp/grp/company/recruit/
大和証Ｇ,http://www.daiwa-grp.jp/,https://www.daiwa-grp.jp/recruit/
野村ＨＤ,http://www.nomura.com/jp/,Not Found
ＳＯＭＰＯＨＤ,http://www.sompo-hd.com/,http://www.sompo-hd.com/recruit/
ＪＰＸ,http://www.jpx.co.jp/,http://www.jpx.co.jp/corporate/about-jpx/recruit/index.html
ＭＳ＆ＡＤ,http://www.ms-ad-hd.com/index.html,http://www.ms-ad-hd.com/ja/recruit.html
第一生命,http://www.dai-ichi-life-hd.com/,http://www.dai-ichi-life-hd.com/hr_strategy/index.html
東京海上,http://www.tokiomarinehd.com/,http://www.tokiomarinehd.com/careers/
Ｔ＆ＤＨＤ,http://www.td-holdings.co.jp/,http://www.td-holdings.co.jp/company/job.html
三井不,http://www.mitsuifudosan.co.jp/,http://www.mitsuifudosan.co.jp/corporate/recruit/
菱地所,http://www.mec.co.jp/,https://www.mec.co.jp/en/saiyou/
東建物,http://www.tatemono.com/,https://tatemono.com/recruit/
住友不,http://www.sumitomo-rd.co.jp/,http://www.sumitomo-rd.co.jp/recruit/
東 武,http://www.tobu.co.jp/,http://www.tobu.co.jp/recruit/
東 急,https://www.tokyu.co.jp/,https://www.tokyu.co.jp/company/recruit/
小田急,http://www.odakyu.jp/,http://www.odakyu.jp/recruit/
京 王,http://www.keio.co.jp/,http://www.keio.co.jp/recruit/
京 成,http://www.keisei.co.jp/,http://www.keisei.co.jp/keisei/jinji/
ＪＲ東日本,http://www.jreast.co.jp/,Not Found
ＪＲ西日本,http://www.westjr.co.jp/,http://www.westjr.co.jp/company/recruit/
ＪＲ東海,http://www.jr-central.co.jp/,http://www.jr-central.co.jp/
ヤマトＨＤ,http://www.yamato-hd.co.jp/,http://www.yamato-hd.co.jp/recruit/
郵 船,http://www.nyk.com/,http://www.nyk.com/recruit/
商船三井,http://www.mol.co.jp/,http://www.mol.co.jp/recruit/
川崎船,http://www.kline.co.jp/,http://www.kline.co.jp/ja/recruit.html
ＮＸＨＤ,https://www.nipponexpress-holdings.com/ja/,https://www.nipponexpress-holdings.com/ja/recruit/
ＪＡＬ,http://www.jal.com/,Not Found
ＡＮＡ,http://www.anahd.co.jp/,http://www.anahd.co.jp/group/recruit/
ＮＴＴ,https://group.ntt/jp/,https://group.ntt/jp/sustainability/social/career-development/
ＫＤＤＩ,http://www.kddi.com/,http://www.kddi.com/corporate/recruit/
ソフトバンク,http://www.softbank.jp/,http://www.softbank.jp/corp/careers/
東電力ＨＤ,http://www.tepco.co.jp/,http://www.tepco.co.jp/recruit/
中部電,http://www.chuden.co.jp/,https://www.chuden.co.jp/recruit/
関西電,http://www.kepco.co.jp/,http://www.kepco.co.jp/firstcareer/index.html
東ガス,http://www.tokyo-gas.co.jp/,http://www.tokyo-gas.co.jp/recruit/index.html
大ガス,http://www.osakagas.co.jp/,Not Found
東 宝,http://www.toho.co.jp/,https://www.toho.co.jp/company/recruit
セコム,http://www.secom.co.jp/,http://www.secom.co.jp/corporate/recruit/?link=header
コナミＧ,https://www.konami.com/ja/,https://www.konami.com/jobs/ja/
ニトリＨＤ,http://www.nitorihd.co.jp/,http://www.nitorihd.co.jp/recruit/
ファーストリテイ,http://www.fastretailing.com/jp/,https://www.fastretailing.com/employment/ja/
ソフトバンクＧ,https://group.softbank/,https://group.softbank/about/careers
